2018-03-28 11:44:41am ::1 satishm localhost/smis/pages/classes/course_manager/edit 
2018-03-28 11:44:48am ::1 satishm localhost/smis/pages/classes/course_manager/update 
2018-03-28 11:44:48am ::1 satishm localhost/smis/pages/classes/course_manager 
2018-03-28 11:44:50am 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 11:45:01am ::1 satishm localhost/smis/pages/classes/course_manager/edit 
2018-03-28 11:45:25am ::1 satishm localhost/smis/pages/classes/course_manager/update 
2018-03-28 11:45:25am ::1 satishm localhost/smis/pages/classes/course_manager 
2018-03-28 11:45:27am 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 11:45:39am ::1 satishm localhost/smis/pages/classes/course_manager/edit 
2018-03-28 11:45:49am ::1 satishm localhost/smis/pages/classes/course_manager/update 
2018-03-28 11:45:49am ::1 satishm localhost/smis/pages/classes/course_manager 
2018-03-28 11:45:52am 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 11:46:06am ::1 satishm localhost/smis/pages/classes/course_manager/edit 
2018-03-28 11:46:12am ::1 satishm localhost/smis/pages/classes/course_manager/update 
2018-03-28 11:46:12am ::1 satishm localhost/smis/pages/classes/course_manager 
2018-03-28 11:46:13am 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 11:46:16am 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 11:47:44am 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 11:48:12am 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 11:49:33am ::1 satishm localhost/smis/pages/classes/class_manager 
2018-03-28 11:52:42am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 11:58:15am ::1 satishm localhost/smis/pages/profile/student/manage 
2018-03-28 11:58:19am ::1 satishm localhost/smis/pages/profile/student/manage 
2018-03-28 11:58:21am ::1 satishm localhost/smis/pages/profile/student/edit/1214 
2018-03-28 11:58:52am ::1 satishm localhost/smis/pages/profile/student/manage 
2018-03-28 11:59:01am ::1 satishm localhost/smis/pages/profile/student/manage 
2018-03-28 11:59:01am ::1 satishm localhost/smis/pages/profile/student/edit/1214 
2018-03-28 12:00:21pm ::1 satishm localhost/smis/pages/profile/student/update/1214 
2018-03-28 12:00:21pm ::1 satishm localhost/smis/pages/profile/student/edit/1214 
2018-03-28 12:00:52pm ::1 satishm localhost/smis/pages/reports/general_reports/student_list 
2018-03-28 12:00:57pm ::1 satishm localhost/smis/pages/reports/general_reports/student_list 
2018-03-28 12:00:59pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:01:24pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:01:24pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:01:37pm ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 12:01:44pm ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 12:01:51pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:01:51pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:01:53pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:01:53pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:02:07pm ::1 satishm localhost/smis/pages/classes/course_manager 
2018-03-28 12:02:07pm ::1 satishm localhost/smis/pages/classes/class_manager 
2018-03-28 12:02:09pm ::1 satishm localhost/smis/pages/exam/exam_setting 
2018-03-28 12:02:12pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:02:12pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:02:37pm ::1 satishm localhost/smis/pages/reports/general_reports/district_st_list 
2018-03-28 12:02:47pm ::1 satishm localhost/smis/pages/reports/general_reports/prev_school_st_list 
2018-03-28 12:02:51pm ::1 satishm localhost/smis/pages/reports/general_reports/prev_school_st_list 
2018-03-28 12:07:03pm ::1 satishm localhost/smis/pages/reports/academic_report/class_rank 
2018-03-28 12:07:06pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:07:06pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:07:26pm ::1 satishm localhost/smis/pages/profile/student/manage 
2018-03-28 12:07:30pm ::1 satishm localhost/smis/pages/profile/student/manage 
2018-03-28 12:09:09pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:09:09pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:09:09pm ::1 satishm localhost/smis/pages/profile/student/details/%3Cdiv%20style=%22border:1px%20solid%20 
2018-03-28 12:10:11pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:10:18pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:10:18pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:10:19pm ::1 satishm localhost/smis/pages/profile/student/details/%3Cdiv%20style=%22border:1px%20solid%20 
2018-03-28 12:11:34pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:11:34pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:11:49pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:11:49pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-28 12:14:52pm ::1 satishm localhost/smis/pages/profile/student/edit/1214 
2018-03-28 12:15:26pm ::1 satishm localhost/smis/pages/profile/student/manage 
2018-03-28 12:15:31pm ::1 satishm localhost/smis/pages/profile/student/manage 
2018-03-28 12:15:56pm ::1 satishm localhost/smis/pages/profile/student/edit/1214 
2018-03-28 12:16:23pm ::1 satishm localhost/smis/pages/profile/student/update/1214 
2018-03-28 12:17:12pm ::1 satishm localhost/smis/pages/profile/student/update/1214 
2018-03-28 12:19:15pm ::1 satishm localhost/smis/pages/classes/course_manager/edit 
2018-03-28 12:19:26pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/batch 
2018-03-28 12:19:37pm ::1 satishm localhost/smis/pages/classes/course_manager/edit 
2018-03-28 12:19:38pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/batch/delete/8 
2018-03-28 12:19:38pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/batch 
2018-03-28 12:19:41pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/batch/delete/9 
2018-03-28 12:19:41pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/batch 
2018-03-28 12:19:42pm ::1 satishm localhost/smis/pages/classes/course_manager/update 
2018-03-28 12:19:42pm ::1 satishm localhost/smis/pages/classes/course_manager 
2018-03-28 12:19:44pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/batch/delete/10 
2018-03-28 12:19:44pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/batch 
2018-03-28 12:19:45pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 12:19:46pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 12:19:51pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-03-28 12:20:10pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/class_manager 
2018-03-28 12:20:24pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 12:20:31pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/section_manager 
2018-03-28 12:20:43pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 12:20:44pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/subject_manager 
2018-03-28 12:20:46pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 12:20:54pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/course_manager 
2018-03-28 12:21:31pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/grade_manager 
2018-03-28 12:21:47pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/roll_no_reassign 
2018-03-28 12:21:54pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/roll_no_reassign 
2018-03-28 12:21:56pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/roll_no_reassign 
2018-03-28 12:22:00pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/roll_no_reassign 
2018-03-28 12:22:01pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 12:22:06pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/roll_no_reassign 
2018-03-28 12:22:12pm ::1 satishm localhost/smis/pages/classes/course_manager/edit 
2018-03-28 12:22:16pm ::1 satishm localhost/smis/pages/classes/course_manager 
2018-03-28 12:22:19pm ::1 satishm localhost/smis/pages/classes/course_manager/edit 
2018-03-28 12:22:23pm ::1 satishm localhost/smis/pages/classes/course_manager/update 
2018-03-28 12:22:24pm ::1 satishm localhost/smis/pages/classes/course_manager 
2018-03-28 12:22:26pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 12:22:31pm ::1 satishm localhost/smis/pages/classes/course_manager/edit 
2018-03-28 12:22:44pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/update_st_roll 
2018-03-28 12:22:45pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/roll_no_reassign 
2018-03-28 12:22:55pm ::1 satishm localhost/smis/pages/classes/course_manager/edit 
2018-03-28 12:23:05pm ::1 satishm localhost/smis/pages/classes/course_manager/update 
2018-03-28 12:23:05pm ::1 satishm localhost/smis/pages/classes/course_manager 
2018-03-28 12:23:16pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 12:23:39pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 12:25:04pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-28 12:27:21pm ::1 satishm localhost/smis/pages/classes/class_manager 
2018-03-28 12:27:49pm ::1 satishm localhost/smis/pages/classes/course_manager/edit 
2018-03-28 12:27:58pm ::1 satishm localhost/smis/pages/classes/course_manager/update 
2018-03-28 12:27:58pm ::1 satishm localhost/smis/pages/classes/course_manager 
