2018-04-02 09:44:17am ::1  localhost/smis/pages/reports/academic_report/st_attendance_report 
2018-04-02 12:24:55pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/appraisal_manager/get_head_titles 
2018-04-02 12:25:04pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/appraisal_manager/delete_head/2 
2018-04-02 12:25:04pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/appraisal_manager 
2018-04-02 12:25:08pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/appraisal_manager/delete_head/1 
2018-04-02 12:25:08pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/appraisal_manager 
2018-04-02 12:25:15pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/appraisal_manager/add_head 
2018-04-02 12:25:15pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/appraisal_manager 
2018-04-02 12:25:18pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/appraisal_manager/get_head_titles 
2018-04-02 12:25:23pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/appraisal_manager/add_title 
2018-04-02 12:25:23pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/appraisal_manager/get_head_titles 
2018-04-02 12:25:46pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/house_manager 
2018-04-02 12:25:59pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager 
2018-04-02 12:26:21pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager/delete_type/5 
2018-04-02 12:26:21pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager 
2018-04-02 12:26:23pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager/delete_type/1 
2018-04-02 12:26:24pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager 
2018-04-02 12:26:32pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager/add_type 
2018-04-02 12:26:32pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager 
2018-04-02 12:26:41pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager/add_type 
2018-04-02 12:26:41pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager 
2018-04-02 12:26:50pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager/add_type 
2018-04-02 12:26:50pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager 
2018-04-02 12:26:57pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager/add_type 
2018-04-02 12:26:57pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager 
2018-04-02 12:27:34pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager/add_type 
2018-04-02 12:27:34pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager 
2018-04-02 12:27:40pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager/add_type 
2018-04-02 12:27:41pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager 
2018-04-02 12:27:47pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager/add_type 
2018-04-02 12:27:48pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager 
2018-04-02 12:27:54pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager/add_type 
2018-04-02 12:27:54pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/club_manager 
2018-04-02 12:28:07pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/evaluation_criteria_manager 
2018-04-02 12:28:34pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/evaluation_criteria_manager/get_evaluation_option/3 
2018-04-02 12:29:09pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/evaluation_criteria_manager/get_evaluation_option/3 
2018-04-02 12:29:23pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/evaluation_criteria_manager/get_evaluation_option/3 
2018-04-02 12:29:28pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/evaluation_criteria_manager/get_evaluation_option/3 
2018-04-02 12:30:05pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/department_manager 
2018-04-02 12:34:21pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/class_reassign 
2018-04-02 12:34:29pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/class_reassign 
