2018-04-26 10:44:04am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:50:47am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/general_content/school 
2018-04-26 10:52:58am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/general_content/occupation 
2018-04-26 10:53:36am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:53:37am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:53:47am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:53:47am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:54:04am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:54:04am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:54:17am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:54:17am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:54:37am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:54:38am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:54:51am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/delete/480 
2018-04-26 10:54:51am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:55:09am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:55:09am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:55:21am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:55:21am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:55:34am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:55:34am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:55:49am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:55:49am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:55:59am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:55:59am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:56:10am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:56:10am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:56:22am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/general_content/district 
2018-04-26 10:56:25am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:56:25am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:56:39am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:56:39am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:56:55am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:57:06am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:57:06am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:57:17am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:57:17am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:57:27am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:57:27am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:57:40am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:57:40am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:57:53am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:57:53am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:58:06am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:58:06am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:58:18am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:58:18am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:58:23am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/general_content/transportation 
2018-04-26 10:58:40am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:58:40am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:58:56am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 10:58:56am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 10:59:09am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
