2018-04-05 10:41:06am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1379 
2018-04-05 10:42:16am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/add_comment 
2018-04-05 10:42:17am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1379 
2018-04-05 10:46:44am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-04-05 10:46:44am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-04-05 10:48:38am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-04-05 10:48:38am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-04-05 10:49:04am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-04-05 10:49:04am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-04-05 10:52:22am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-04-05 10:52:22am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-04-05 10:53:44am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-04-05 10:53:44am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-04-05 10:57:03am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-04-05 10:57:03am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-04-05 11:03:35am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-04-05 11:03:35am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-04-05 11:04:17am ::1 satishm localhost/smis/pages/home 
2018-04-05 11:05:57am 192.168.1.11 satishm 192.168.1.109/smis/pages/home 
2018-04-05 11:06:29am 192.168.1.11 satishm 192.168.1.109/smis/pages/classes/class_manager 
2018-04-05 11:08:53am 192.168.1.11 satishm 192.168.1.109/smis/pages/reports/academic_report/student_evaluation_overall 
2018-04-05 11:09:03am 192.168.1.11 satishm 192.168.1.109/smis/pages/reports/academic_report/list_student/13 
2018-04-05 11:09:34am 192.168.1.11 satishm 192.168.1.109/smis/pages/profile/student/details/1292 
2018-04-05 11:09:34am 192.168.1.11 satishm 192.168.1.109/smis/pages/profile/student/details/1292 
2018-04-05 11:11:26am 192.168.1.11 satishm 192.168.1.109/smis/pages/reports/academic_report/exam_summary_report 
2018-04-05 11:11:36am 192.168.1.11 satishm 192.168.1.109/smis/pages/reports/academic_report/view_terminal_total 
2018-04-05 11:11:36am 192.168.1.11 satishm 192.168.1.109/smis/pages/reports/academic_report/view_terminal_total 
2018-04-05 11:11:49am 192.168.1.11 satishm 192.168.1.109/smis/pages/reports/academic_report/print_all_marksheet?data=YTo0OntzOjg6ImJhdGNoX2lkIjtzOjQ6IjIwNzMiO3M6ODoiZ3JhZGVfaWQiO3M6MzoiT25lIjtzOjEwOiJzZWN0aW9uX2lkIjtzOjM6ImFsbCI7czo3OiJleGFtX2lkIjtzOjE6IjEiO30= 
