2018-03-07 11:29:54am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:30:23am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:30:55am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:31:09am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:31:59am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:32:19am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:32:35am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:33:24am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:34:13am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:35:55am ::1 satishm localhost/smis/theme_option/site_info 
2018-03-07 11:36:00am ::1 satishm localhost/smis/theme_option/site_info/update_info 
2018-03-07 11:36:00am ::1 satishm localhost/smis/theme_option/site_info 
2018-03-07 11:36:03am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 11:36:12am ::1 satishm localhost/smis/pages/exam/marks_entry/update/1303 
2018-03-07 11:36:13am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 11:36:21am ::1 satishm localhost/smis/pages/exam/marks_entry/update/1303 
2018-03-07 11:36:21am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 11:36:37am ::1 satishm localhost/smis/pages/reports/academic_report/exam_summary_report 
2018-03-07 11:36:44am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 11:36:44am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 11:36:52am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:38:07am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:38:35am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:48:21am ::1 satishm localhost/smis/pages/exam/exam_setting 
2018-03-07 11:48:35am ::1 satishm localhost/smis/pages/exam/exam_setting/edit 
2018-03-07 11:48:43am ::1 satishm localhost/smis/pages/exam/exam_setting/edit 
2018-03-07 11:55:47am ::1 satishm localhost/smis/theme_option/site_info 
2018-03-07 11:55:50am ::1 satishm localhost/smis/pages/exam/exam_setting/edit 
2018-03-07 11:55:57am ::1 satishm localhost/smis/pages/exam/exam_setting/update 
2018-03-07 11:55:58am ::1 satishm localhost/smis/pages/exam/exam_setting 
2018-03-07 11:56:03am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 11:56:16am ::1 satishm localhost/smis/pages/exam/assessment_setting 
2018-03-07 11:56:29am ::1 satishm localhost/smis/theme_option/site_info/update_info 
2018-03-07 11:56:30am ::1 satishm localhost/smis/theme_option/site_info 
2018-03-07 11:56:32am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 11:56:40am ::1 satishm localhost/smis/pages/exam/marks_entry/update/1303 
2018-03-07 11:56:40am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 12:01:36pm ::1 satishm localhost/smis/pages/exam/assessment_setting 
2018-03-07 12:02:37pm ::1 satishm localhost/smis/pages/exam/assessment_setting/add_assessment 
2018-03-07 12:02:37pm ::1 satishm localhost/smis/pages/exam/assessment_setting 
2018-03-07 12:03:10pm ::1 satishm localhost/smis/pages/exam/assessment_setting/add_assessment 
2018-03-07 12:03:11pm ::1 satishm localhost/smis/pages/exam/assessment_setting 
2018-03-07 12:03:24pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 12:03:38pm ::1 satishm localhost/smis/pages/exam/exam_setting/edit 
2018-03-07 12:05:53pm ::1 satishm localhost/smis/pages/exam/exam_setting/update 
2018-03-07 12:05:53pm ::1 satishm localhost/smis/pages/exam/exam_setting 
2018-03-07 12:06:00pm ::1 satishm localhost/smis/pages/exam/assessment_setting/update 
2018-03-07 12:06:00pm ::1 satishm localhost/smis/pages/exam/assessment_setting 
2018-03-07 12:06:05pm ::1 satishm localhost/smis/pages/exam/assessment_setting/update 
2018-03-07 12:06:06pm ::1 satishm localhost/smis/pages/exam/assessment_setting 
2018-03-07 12:06:15pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 12:09:30pm ::1 satishm localhost/smis/pages/exam/exam_setting/edit 
2018-03-07 12:09:37pm ::1 satishm localhost/smis/pages/exam/exam_setting/update 
2018-03-07 12:09:38pm ::1 satishm localhost/smis/pages/exam/exam_setting 
2018-03-07 12:09:52pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 12:11:30pm ::1 satishm localhost/smis/pages/exam/exam_setting/edit 
2018-03-07 12:12:32pm ::1 satishm localhost/smis/pages/exam/marks_entry/update/1303 
2018-03-07 12:12:33pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 12:12:45pm ::1 satishm localhost/smis/pages/reports/academic_report/exam_summary_report 
2018-03-07 12:13:01pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 12:13:01pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 12:13:03pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:17:47pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:18:14pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:19:40pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:19:55pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:20:07pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:20:10pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:20:49pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:21:36pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:22:27pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:23:21pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:23:59pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:25:23pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:26:44pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:26:47pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:27:17pm ::1 satishm localhost/smis/pages/exam/marks_entry/update/1303 
2018-03-07 12:27:18pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 12:27:24pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:27:52pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:28:34pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 12:28:55pm ::1 satishm localhost/smis/pages/classes/subject_manager 
2018-03-07 12:29:06pm ::1 satishm localhost/smis/pages/classes/subject_manager/update 
2018-03-07 12:29:07pm ::1 satishm localhost/smis/pages/classes/subject_manager 
2018-03-07 12:29:11pm ::1 satishm localhost/smis/pages/ajax/marksheet_view 
